a_url	claim	verdict	a_tags	a_date	a_author	source_list	o_url	o_domain	o_body	o_title	o_date	o_author	o_keywords	o_summary
trusted	Minneapolis Protests Turn Destructive as Outrage Grows Over Death of George Floyd	true	[]		trusted	[]	https://www.nytimes.com/2020/05/28/us/minneapolis-protests-george-floyd.html?action=click&module=Top%20Stories&pgtype=Homepage	https://www.nytimes.com/	"The violence came at the end of what had been a tense period.

Protesters began gathering Wednesday afternoon outside the Third Precinct Police Headquarters, but by early evening, officers were trying to disperse the crowds using flash-bang grenades and tear gas."	Minneapolis Protests Turn Destructive as Outrage Grows Over Death of George Floyd	2020-05-28	['Marc Santora']	['officers', 'outrage', 'tear', 'floyd', 'using', 'protests', 'tense', 'destructive', 'headquarters', 'violence', 'minneapolis', 'precinct', 'george', 'outside', 'turn', 'grows', 'periodprotesters', 'trying', 'death']	"The violence came at the end of what had been a tense period.
Protesters began gathering Wednesday afternoon outside the Third Precinct Police Headquarters, but by early evening, officers were trying to disperse the crowds using flash-bang grenades and tear gas."
trusted	What We Know About the Death of George Floyd in Minneapolis	true	[]		trusted	[]	https://www.nytimes.com/2020/05/27/us/george-floyd-minneapolis-death.html	https://www.nytimes.com/	Arrested man: [moaning] “What you trying to say?” Police officer: “Relax.” Arrested man: “Man, I can’t breathe — my face —” [inaudible] Police officer: “What do you want?” Arrested man: “I can’t breathe!” Bystander 1: “How long you all got to hold him down?” Unidentified speaker: “Don’t do drugs, kids —” Bystander 2: “This ain’t about drugs, bro.” [inaudible conversation] Bystander 2: “He is human, bro.” Bystander 1: “His nose —” Bystander 2: “ — right now bro, you know it’s broken. You can’t even look at me like a man because you a bum, bro. He’s not even resisting arrest right now, bro.” Bystander 1: “His nose is bleeding.” Bystander 3: He’s passed out!” Bystander 2: “You [expletive] stopping his breathing, right now, bro. You think that’s cool? You think that’s cool? What is that? What do you think that is? You say — you call what he’s doing, OK?” Police officer: “Get back!” Bystander 2: “You’re calling what he’s doing OK. You call what he’s doing OK, bro?” Police officer: “Only firefighters —” Bystander 4: “Yes, I am from Minneapolis.” Bystander 2: “Bro, you, you, you call — you think that’s OK? Check his pulse!” Bystander 4: “The fact that you guys aren’t checking his pulse, and doing compressions if he needs them, you guys are on —” Bystander 1: “Oh my God!” [inaudible] Bystander 4: “OK, yeah, and I have your name tag.” Bystander 5: “Freedom of speech.” [shouting] Bystander 2: “Don’t touch me!”	What We Know About the Death of George Floyd in Minneapolis	2020-05-27	['The New York Times']	['officer', 'ok', 'right', 'bro', 'man', 'floyd', 'death', 'think', 'doing', 'know', 'thats', 'minneapolis', 'george', 'bystander', 'hes']	"You can’t even look at me like a man because you a bum, bro.
He’s not even resisting arrest right now, bro.” Bystander 1: “His nose is bleeding.” Bystander 3: He’s passed out!” Bystander 2: “You [expletive] stopping his breathing, right now, bro.
You think that’s cool?
You think that’s cool?
You say — you call what he’s doing, OK?” Police officer: “Get back!” Bystander 2: “You’re calling what he’s doing OK. You call what he’s doing OK, bro?” Police officer: “Only firefighters —” Bystander 4: “Yes, I am from Minneapolis.” Bystander 2: “Bro, you, you, you call — you think that’s OK?"
trusted	‘I Can’t Breathe’: 4 Minneapolis Officers Fired After Black Man Dies in Custody	true	[]		trusted	[]	https://www.nytimes.com/2020/05/26/us/minneapolis-police-man-died.html	https://www.nytimes.com/	Arrested man: [moaning] “What you trying to say?” Police officer: “Relax.” Arrested man: “Man, I can’t breathe — my face —” [inaudible] Police officer: “What do you want?” Arrested man: “I can’t breathe!” Bystander 1: “How long you all got to hold him down?” Unidentified speaker: “Don’t do drugs, kids —” Bystander 2: “This ain’t about drugs, bro.” [inaudible conversation] Bystander 2: “He is human, bro.” Bystander 1: “His nose —” Bystander 2: “ — right now bro, you know it’s broken. You can’t even look at me like a man because you a bum, bro. He’s not even resisting arrest right now, bro.” Bystander 1: “His nose is bleeding.” Bystander 3: He’s passed out!” Bystander 2: “You [expletive] stopping his breathing, right now, bro. You think that’s cool? You think that’s cool? What is that? What do you think that is? You say — you call what he’s doing, OK?” Police officer: “Get back!” Bystander 2: “You’re calling what he’s doing OK. You call what he’s doing OK, bro?” Police officer: “Only firefighters —” Bystander 4: “Yes, I am from Minneapolis.” Bystander 2: “Bro, you, you, you call — you think that’s OK? Check his pulse!” Bystander 4: “The fact that you guys aren’t checking his pulse, and doing compressions if he needs them, you guys are on —” Bystander 1: “Oh my God!” [inaudible] Bystander 4: “OK, yeah, and I have your name tag.” Bystander 5: “Freedom of speech.” [shouting] Bystander 2: “Don’t touch me!”	‘I Can’t Breathe’: 4 Minneapolis Officers Fired After Black Man Dies in Custody	2020-05-26	['Christine Hauser', 'Derrick Bryson Taylor', 'Neil Vigdor']	['officer', 'black', 'officers', 'dies', 'custody', 'cant', 'ok', 'right', 'bro', 'man', 'think', 'fired', 'doing', 'thats', 'minneapolis', 'breathe', 'bystander', 'hes']	"You can’t even look at me like a man because you a bum, bro.
He’s not even resisting arrest right now, bro.” Bystander 1: “His nose is bleeding.” Bystander 3: He’s passed out!” Bystander 2: “You [expletive] stopping his breathing, right now, bro.
You think that’s cool?
You think that’s cool?
You say — you call what he’s doing, OK?” Police officer: “Get back!” Bystander 2: “You’re calling what he’s doing OK. You call what he’s doing OK, bro?” Police officer: “Only firefighters —” Bystander 4: “Yes, I am from Minneapolis.” Bystander 2: “Bro, you, you, you call — you think that’s OK?"
trusted	Two Weapons, a Chase, a Killing and No Charges	true	[]		trusted	[]	https://www.nytimes.com/2020/04/26/us/ahmed-arbery-shooting-georgia.html	https://www.nytimes.com/	"Moments later, after a struggle over the shotgun, Mr. Arbery was killed, shot at least twice.

No one has been charged or arrested in connection with the Feb. 23 killing. The case has received little attention beyond Brunswick, but it has raised questions in the community about racial profiling — Mr. Arbery was black, and the father and son are white — and about the interpretation of the state’s self-defense laws."	Two Weapons, a Chase, a Killing and No Charges	2020-04-26	['Richard Fausset']	['killing', 'shotgun', 'son', 'selfdefense', 'twiceno', 'weapons', 'shot', 'arbery', 'charges', 'struggle', 'white', 'states', 'chase', 'mr']	"Moments later, after a struggle over the shotgun, Mr. Arbery was killed, shot at least twice.
No one has been charged or arrested in connection with the Feb. 23 killing.
The case has received little attention beyond Brunswick, but it has raised questions in the community about racial profiling — Mr. Arbery was black, and the father and son are white — and about the interpretation of the state’s self-defense laws."
trusted	Beyond the Chokehold: The Path to Eric Garner’s Death	true	[]		trusted	[]	https://www.nytimes.com/2015/06/14/nyregion/eric-garner-police-chokehold-staten-island.html	https://www.nytimes.com/	"But on that sweltering day in July, the officers left him with a warning.

“It was the first time I ever saw them let him go,” said John McCrae, who watched the encounter near the park. Mr. Garner took that experience to heart, Mr. McCrae said."	Beyond the Chokehold: The Path to Eric Garner’s Death	2015-06-14	['Al Baker', 'J. David Goodman', 'Benjamin Mueller']	['mccrae', 'officers', 'took', 'near', 'garners', 'death', 'watched', 'park', 'chokehold', 'path', 'eric', 'saw', 'sweltering', 'mr', 'warningit']	"But on that sweltering day in July, the officers left him with a warning.
“It was the first time I ever saw them let him go,” said John McCrae, who watched the encounter near the park.
Mr. Garner took that experience to heart, Mr. McCrae said."
trusted	Minnesota Officer Acquitted in Killing of Philando Castile	true	[]		trusted	[]	https://www.nytimes.com/2017/06/16/us/police-shooting-trial-philando-castile.html	https://www.nytimes.com/	"“We gave it our best shot,” said Mr. Choi, the Ramsey County attorney. “We really did.”

The acquittal was the latest example of charges against an officer, but not a conviction. In recent years, officers in Cleveland, Pennsylvania and Tulsa, Okla., have been found not guilty of manslaughter. Elsewhere, including Cincinnati and South Carolina, jurors have deadlocked on charges after a fatal shooting and failed to deliver any verdict at all."	Minnesota Officer Acquitted in Killing of Philando Castile	2017-06-16	['Mitch Smith']	['castile', 'killing', 'officer', 'shooting', 'philando', 'pennsylvania', 'really', 'acquitted', 'recent', 'shot', 'minnesota', 'ramsey', 'charges', 'verdict', 'tulsa', 'south']	"“We gave it our best shot,” said Mr. Choi, the Ramsey County attorney.
“We really did.”The acquittal was the latest example of charges against an officer, but not a conviction.
In recent years, officers in Cleveland, Pennsylvania and Tulsa, Okla., have been found not guilty of manslaughter.
Elsewhere, including Cincinnati and South Carolina, jurors have deadlocked on charges after a fatal shooting and failed to deliver any verdict at all."
trusted	Michael Brown’s Shooting and Its Immediate Aftermath in Ferguson	true	[]		trusted	[]	https://www.nytimes.com/interactive/2014/08/12/us/13police-shooting-of-black-teenager-michael-brown.html	https://www.nytimes.com/	"Michael Brown Is Shot An 18-year-old teenager, Michael Brown, is shot and killed on Saturday by a police officer in Ferguson, Mo. The circumstances surrounding the shooting are in dispute. The police say Mr. Brown was shot during a skirmish with the officer. A friend who was walking with Mr. Brown, Dorian Johnson, says the officer opened fire when the young men refused to move from the middle of the street to the sidewalk. He says Mr. Brown’s hands were over his head when the officer fired. All agree that Mr. Brown was unarmed. Protests Amid Calls for Patience After a candlelight vigil on Sunday evening, protesters flood into the streets near the scene of the shooting, some chanting, “No justice, no peace.” They are met by police officers in riot gear, carrying rifles and shields. A Peaceful Protest Turns Violent Images and videos captured on cellphones begin to flood social media sites, and accounts of looting in Ferguson spread quickly on Twitter. The QuikTrip in the second tweet, below, is among the first- and hardest-hit businesses. F.B.I. Opens Civil Rights Investigation The Federal Bureau of Investigation opens a civil rights inquiry into the shooting of Mr. Brown on Monday as protests in Ferguson continues. The N.A.A.C.P. issues a statement of support for Mr. Brown's family, adding, ""Even as we call for accountability by those charged with protecting the community, we call on the community to act – collectively and calmly."" Jon Belmar, chief of the St. Louis County Police, asks for patience while his department completes an investigation that could take some time. That night, protesters again square off with the police, who use tear gas to disperse the crowd. Police Decline to Identify Officer The police chief in Ferguson on Tuesday reconsiders his decision to release the name of the officer involved in the shooting, citing concerns for the officer's safety. The department says threats were made against the officer and the city’s Police Department on social media. “The value of releasing the name is far outweighed by the risk of harm to the officer and his family,” the police chief, Thomas Jackson, says. The decision draws criticism from a lawyer for the Brown family. Anger Mounts Over Anonymity of Police Officer The selective release of information about the shooting, especially the anonymity granted to the officer, fuels a fourth day and night of protests in Ferguson that escalates after the police seeks to disperse people using rubber bullets and tear gas. Thomas Jackson, Ferguson's chief of police, reveals earlier in the day that the officer who shot Mr. Brown had been struck in the face during the encounter and treated at a hospital. The friend who was with Mr. Brown at the time of the shooting has disputed the Police Department's claim that there was a struggle. Among those arrested in the evening are Wesley Lowery of The Washington Post and Ryan J. Reilly of The Huffington Post, who are apprehended at a McDonald’s on suspicion of trespassing. They are later released without charges or an explanation. Both news organizations criticize the arrests. Also arrested is Antonio French , a St. Louis alderman who was documenting the protests on social media. Mr. French is released the next morning. A witness tweets this image of a street filling with clouds of tear gas, illuminated by what look like small explosions. Later, the police confirm that Molotov cocktails were thrown during the night. Shift in Oversight of Crowd Control President Obama says that Attorney General Eric H. Holder Jr. “should do what is necessary to help determine exactly what happened and to see that justice is done.” Mr. Obama — who speaks from Martha's Vineyard, Mass., where he is vacationing — also criticizes law enforcement officers in Ferguson for what he describes as excessive force during the protests. He adds that he had spoken to Gov. Jay Nixon of Missouri. “I expressed my concern over the violent turn of events,” the president says. Earlier in the day, Mr. Nixon speaks in Ferguson and promises ""operational shifts,"" saying that St. Louis County police officers would be relieved of duty in Ferguson. Later, he confirms that the Missouri State Highway Patrol would begin overseeing security and crowd control during the protests. Dueling Police Statements as Anger Rises One day after roiling tensions over the police shooting of a black teenager began to subside, emotions flare anew on Friday as the police identify the officer involved but also release evidence that the victim was a suspect in a convenience store robbery moments before being shot. The manner in which the police here release the information, which include a 19-page police report on the robbery but no new details about the shooting, leads to the spectacle of dueling police news conferences, one led by a white officer who seems ill at ease and defensive, and the other dominated by a charismatic black officer who expresses solidarity with the crowd even as he pleads for peace. Governor Declares Curfew in Ferguson On Saturday, Gov. Jay Nixon cites looting when he declares a state of emergency and imposes a midnight-to-5 a.m. curfew on the St. Louis suburb. The announcement prompts cries of protest and anguish from some members of the public, with many of them arguing that a curfew would lead only to new and fierce confrontations. But Capt. Ronald S. Johnson, the state Highway Patrol commander whose officers have overseen public security in Ferguson since Thursday, says: “We won’t enforce it with trucks, we won’t enforce it with tear gas, we will enforce it with communication. We will be telling people, ‘It’s time to go home.’ ” Clashes Erupt as Some Protesters Ignore Curfew As the midnight curfew in Ferguson takes effect amid heavy rain, crowds that had filled some streets begin to disperse. But some clusters of people confront police officers lining the streets or riding in armored vehicles. The demonstrators chant: “We are Mike Brown! We have the right to assemble peacefully!” invoking the name of the 18-year-old fatally shot by the officer. Protesters toss at least one bottle rocket, according to the police, and at the apparent sound of gunshots, demonstrators scramble to safety. The police fire smoke canisters and tear gas at the crowds, and officials later say it was in response to the shooting, in which one man is critically wounded, apparently by another protester. Seven people are arrested and accused of failing to disperse. The governor of Missouri later says that the curfew was effective in helping to maintain a relative peace. Preachers, Passion and a Private Autopsy Despite the official pronunciation of a successful curfew, passions in Ferguson are hardly tamped down as the day wears on. First, word comes that officials have extended the curfew for at least one more night. Then, Attorney General Eric H. Holder Jr. announces that the Justice Department would conduct its own autopsy of Mr. Brown because of the “extraordinary circumstances” in the case. (A state autopsy has already been completed.) Later, the police, pastors and civil rights figures gather at churches, delivering passionate speeches and calls for change. Then, late in the evening, the preliminary results of a private autopsy performed on Sunday by Dr. Michael M. Baden at the request of Mr. Brown's family are revealed. (Prof. Shawn L. Parcells assists Dr. Baden.) The 18-year-old was shot at least six times, including twice in the head, the report says. All the bullets were fired into his front. One bullet entered the top of his skull, suggesting his head was bent forward when it struck him, and caused a fatal injury. ""This information could have been released on Day 1,” Dr. Baden says in an interview after the autopsy. Amid appeals for calm, and as the second midnight curfew approaches, street violence flares again. Governor Deploys National Guard President Obama dispatched Attorney General Eric H. Holder Jr. to Missouri after the governor deployed the National Guard to help the police quell unrest. The governor, Jay Nixon, also lifted a curfew that had been imposed on Friday night. Mr. Holder will travel to Ferguson on Wednesday, Mr. Obama said, and Ronald Davis, the director of the Justice Department's Office of Community Oriented Policing Services, will arrive Tuesday to work with police officials. President Obama told reporters at the White House that he had talked to Mr. Nixon and expressed “an interest in making sure that if in fact the National Guard is used, it is used in a limited and appropriate way.” “I’ll be watching over the next several days, to assess whether, in fact, it’s helping rather than hindering progress in Ferguson,” Mr. Obama said. The role of the National Guard will be limited to protecting the police command center here, which the authorities said came under a coordinated attack on Sunday night, Mr. Nixon said. Unrest Escalates Despite Presence of National Guard The protests in Ferguson reached new levels of violence, even as the Missouri National Guard arrived, the latest in a series of quickly shifting attempts to quell the chaos. The authorities had banned stationary protests, even during the day, ordering demonstrators to continue walking — particularly in an area near where the shooting occurred. Reports of tear gas, rubber bullets and the exchange of live gunfire began to flood Twitter. In the morning Ferguson's streets were relatively quiet, but officials revealed that during the protests of the previous evening, two men were shot in the crowd, and 31 people — some from New York and California — were arrested. Six journalists were among those who were detained. Fires were reported in two places. The police were shot at, the authorities said, but did not fire their weapons. Focus Turns to Investigation as Holder Arrives Attorney General Eric H. Holder Jr. arrived in St. Louis to meet with community leaders and federal investigators as local law enforcement officials said they were hopeful that they had turned a corner in calming the restive community of Ferguson after 12 days of protests and unrest. A grand jury has been convened and was scheduled to begin hearing evidence, said Edward Magee, a spokesman for Robert P. McCulloch, the prosecuting attorney for St. Louis County. National Guard Troops Ordered to Withdraw Gov. Jay Nixon ordered the Missouri National Guard to begin a withdrawal from Ferguson, signaling that the authorities believed that they had largely restored order after nearly two weeks of unrest. In a statement, Mr. Nixon said the situation had “greatly improved with fewer incidents of outside agitators interfering with peaceful protesters and fewer acts of violence.” In Washington, having returned from his trip to Ferguson, Attorney General Eric H. Holder Jr. indicated that the federal effort was moving forward. “It’s going to take time for us to develop all the facts, develop all the evidence and see where the case will ultimately go,” he said. “It’s most important that we get it right.” Ferguson Area Schools Prepare for Opening Day The school year in Ferguson was scheduled to begin on Aug. 14, but the opening was delayed because of the unrest that followed the killing of Michael Brown five days earlier. Public schools will open on Monday, and teachers and administrators in the Ferguson-Florissant School District are eager to establish some sense of normalcy. Mourning and Calls for Action at Michael Brown's Funeral Thousands paid their respects to Michael Brown, more than two weeks after he was shot and killed by a police officer in Ferguson, Mo. In a deeply religious service at the Friendly Temple Missionary Baptist Church, several speakers exhorted mourners to work for justice, not just for Mr. Brown but for others, long after the funeral was over. The crowd of mourners included his parents and extended family, as well as the Rev. Jesse Jackson; the film director Spike Lee; T. D. Jakes, the bishop of The Potter’s House, an African-American megachurch; several members of Congress; representatives from the White House; and two children of the Rev. Dr. Martin Luther King Jr."	Michael Brown’s Shooting and Its Immediate Aftermath in Ferguson	2014-08-12	[]	['shooting', 'immediate', 'michael', 'officer', 'nixon', 'ferguson', 'shot', 'brown', 'browns', 'aftermath', 'protests', 'curfew', 'national', 'mr']	"Michael Brown Is Shot An 18-year-old teenager, Michael Brown, is shot and killed on Saturday by a police officer in Ferguson, Mo.
Opens Civil Rights Investigation The Federal Bureau of Investigation opens a civil rights inquiry into the shooting of Mr. Brown on Monday as protests in Ferguson continues.
The friend who was with Mr. Brown at the time of the shooting has disputed the Police Department's claim that there was a struggle.
Earlier in the day, Mr. Nixon speaks in Ferguson and promises ""operational shifts,"" saying that St. Louis County police officers would be relieved of duty in Ferguson.
Mourning and Calls for Action at Michael Brown's Funeral Thousands paid their respects to Michael Brown, more than two weeks after he was shot and killed by a police officer in Ferguson, Mo."
trusted	Minneapolis Police, Long Accused of Racism, Face Wrath of Wounded City	true	[]		trusted	[]	https://www.nytimes.com/2020/05/27/us/minneapolis-police.html	https://www.nytimes.com/	"Then she got a phone call that the man in the video was her cousin.

“First I was numb,” she said. “Then shocked, then hurt, then angry. It was painful to watch before I knew the person in the video was related to me. Now that I know this person is my flesh and blood, the pain is magnified a trillion times.”"	Minneapolis Police, Long Accused of Racism, Face Wrath of Wounded City	2020-05-27	['Matt Furber', 'John Eligon', 'Audra D. S. Burch']	['person', 'trillion', 'wounded', 'wrath', 'long', 'pain', 'accused', 'related', 'face', 'city', 'painful', 'racism', 'video', 'shocked', 'phone', 'minneapolis', 'times', 'watch']	"Then she got a phone call that the man in the video was her cousin.
“First I was numb,” she said.
“Then shocked, then hurt, then angry.
It was painful to watch before I knew the person in the video was related to me.
Now that I know this person is my flesh and blood, the pain is magnified a trillion times.”"
trusted	Daniel Pantaleo, Officer Who Held Eric Garner in Chokehold, Is Fired	true	[]		trusted	[]	https://www.nytimes.com/2019/08/19/nyregion/daniel-pantaleo-fired.html	https://www.nytimes.com/	The unintended consequence of Mr. Garner’s death must have a consequence of its own. Therefore, I agree with the deputy commissioner of trial’s legal findings and recommendations. It is clear that Daniel Pantaleo can no longer effectively serve as a New York City police officer. In carrying out the court’s verdict — verdict in this case, I take no pleasure. I know that many will disagree with this decision and that is their right. There are absolutely no victors here today, not the Garner family, not the community at large and certainly not the courageous men and women of the police department, who put their own lives on the line every single day in service to the people of this great city. Today is a day of reckoning, but can also be a day of reconciliation. We must forward — we must move forward together as one city, determined to secure safety for all: safety for all New Yorkers and safety for every police officer working daily to protect all of us.	Daniel Pantaleo, Officer Who Held Eric Garner in Chokehold, Is Fired	2019-08-19	['Ashley Southall']	['garner', 'officer', 'daniel', 'pantaleo', 'day', 'today', 'forward', 'city', 'york', 'fired', 'consequence', 'yorkers', 'chokehold', 'held', 'verdict', 'eric', 'safety']	"The unintended consequence of Mr. Garner’s death must have a consequence of its own.
It is clear that Daniel Pantaleo can no longer effectively serve as a New York City police officer.
In carrying out the court’s verdict — verdict in this case, I take no pleasure.
Today is a day of reckoning, but can also be a day of reconciliation.
We must forward — we must move forward together as one city, determined to secure safety for all: safety for all New Yorkers and safety for every police officer working daily to protect all of us."
trusted	Officer Who Shot Philando Castile Is Charged With Manslaughter	true	[]		trusted	[]	https://www.nytimes.com/2016/11/17/us/philando-castile-shooting-minnesota.html	https://www.nytimes.com/	"“His dying words were in protest that he wasn’t reaching for his gun,” Mr. Choi said.

Mr. Castile’s death is among the highest-profile cases of the countless police interactions with black men that have roiled the country, and especially Minnesota, in the last two years. The case drew international attention, largely because Ms. Reynolds streamed the aftermath on Facebook Live, calmly but firmly recounting her version of events and disputing Officer Yanez’s narrative as blood soaked through Mr. Castile’s white T-shirt."	Officer Who Shot Philando Castile Is Charged With Manslaughter	2016-11-17	['Christina Capecchi', 'Mitch Smith']	['castile', 'officer', 'wasnt', 'tshirt', 'soaked', 'philando', 'streamed', 'shot', 'manslaughter', 'charged', 'white', 'words', 'version', 'castiles', 'yanezs', 'mr']	"“His dying words were in protest that he wasn’t reaching for his gun,” Mr. Choi said.
Mr. Castile’s death is among the highest-profile cases of the countless police interactions with black men that have roiled the country, and especially Minnesota, in the last two years.
The case drew international attention, largely because Ms. Reynolds streamed the aftermath on Facebook Live, calmly but firmly recounting her version of events and disputing Officer Yanez’s narrative as blood soaked through Mr. Castile’s white T-shirt."
